Book Id,ISBN,Lexile Score,Bookshelf,Tags,Wishlist,Started Reading On,Ended Reading On,Pages Read,Read,My Rating,Review,Short note,Advanced note,Signed,Condition,Number of copies,Quotes,Flashcards,Title,Subtitle,Language,Categories,Authors,Illustrators,Translators,Editors,Narrators,Photographers,Publisher,Page Count,Published At,Format,Edition,Series,Volume,Loan Type,Loan Name,Loan Start Date,Loan Due Date,Purchase Type,Purchase From,Purchase Price,Purchase Date,Transfer Type,Transfer place,Transfer Price,Transfer Date,Description,Date added
252363,9.78055E+12,,My books,,0,,,0,0,,,,,0,,1,,,Island of the Blue Dolphins (Island of the Blue Dolphins #1),Island Of The Blue Dolphins,en,,Scott O'Dell,,,,,,Scholastic Inc.,177,9/1/2010,paperback,,Island of the Blue Dolphins,1,,,,,,,,,,,,,"In the Pacific there is an island that looks like a big fish sunning itself in the sea. Around it, blue dolphins swim, otters play, and sea elephants and sea birds abound. Once, Indians also lived on the island. And when they left and sailed to the east, one young girl was left behind. — This is the story of Karana, the Indian girl who lived alone for years on the Island of the Blue Dolphins. Year after year, she watched one season pass into another and waited for a ship to take her away. But while she waited, she kept herself alive by building shelter, making weapons, finding food, and fighting her enemies, the wild dogs. It is not only an unusual adventure of survival, but also a tale of natural beauty and personal discovery.",12/26/2025
277343,9.78062E+12,1000L,My books,,0,,,0,0,,,,,0,,1,,,The Hobbit,,en,Classics,J.R.R. Tolkien,,,,,,Houghton Mifflin Harcourt,277,9/21/2007,hardcover,,,,,,,,,,,,,,,,"This deluxe hardcover edition of J.R.R. Tolkien's classic prelude to his Lord of the Rings trilogy contains a short introduction by Christopher Tolkien, a reset text incorporating the most up-to-date corrections, and all of Tolkien’s own drawings and full-color illustrations, including the rare “Mirkwood” piece.


J.R.R. Tolkien's own description for the original edition: ""If you care for journeys there and back, out of the comfortable Western world, over the edge of the Wild, and home again, and can take an interest in a humble hero (blessed with a little wisdom and a little courage and considerable good luck), here is a record of such a journey and such a traveler. The period is the ancient time between the age of Faerie and the dominion of men, when the famous forest of Mirkwood was still standing, and the mountains were full of danger. In following the path of this humble adventurer, you will learn by the way (as he did) -- if you do not already know all about these things -- much about trolls, goblins, dwarves, and elves, and get some glimpses into the history and politics of a neglected but important period. For Mr. Bilbo Baggins visited various notable persons; conversed with the dragon, Smaug the Magnificent; and was present, rather unwillingly, at the Battle of the Five Armies. This is all the more remarkable, since he was a hobbit. Hobbits have hitherto been passed over in history and legend, perhaps because they as a rule preferred comfort to excitement. But thi...",12/26/2025
4135332,9.78006E+12,,My books,,0,7/9/2025,7/9/2025,304,1,4.5,,,,0,,1,,,Operation Do-Over,,en,"JUVENILE FICTION/Humorous Stories,JUVENILE FICTION/Social Themes / Friendship,JUVENILE FICTION/Time Travel",Gordon Korman,,,,,,Balzer + Bray,304,1/1/2022,hardcover,,,,,,,,,,,,,,,,"From theNew York Timesbestselling author ofThe Unteachables, Gordon Korman, comes a hilarious new high-concept friendship story in the vein of Back to the Future. Perfect for fans of Korman’sRestart.

Mason and Ty were once the very best of friends, like two nerdy sides of the same coin . . . until seventh grade, when Ava Petrakis came along. Now Mason can trace everything bad in his life to that terrible fight they had over the new girl. The one thing he’d give anything for is a do-over. But that can’t happen in real life—can it?

As a science kid, Mason knows do-overs are impossible, so he can’t believe it when he wakes up from a freak accident and finds himself magically transported back to seventh grade. His parents aren’t yet divorced and his beloved sheepdog is still alive. Best of all, he and Ty haven’t had their falling-out yet.

It makes no logical sense, but Mason is determined to use this second chance to not only save his friendship (and his dog!) but do other things differently—like trying out for the football team and giving new friends a chance. There’s just one person he’ll be avoiding at all costs: Ava. But despite his best efforts, will he be able to stop the chain of events that made his previous life implode?",7/9/2025
1513744,9.7804E+12,880L,My books,,0,7/2/2025,7/5/2025,227,1,3.5,,,,0,,1,,,I Am Morgan le Fay,A Tale from Camelot,en,"Fantasy & Magical,Young Adult Fiction,Fiction",Nancy Springer,,,,,,Philomel Books,227,3/19/2001,hardcover,,,,,,,,,,,,,,,,"Fans who love King Arthur's legend, Camelot, Merlin, and similar tales will love reading about Morgan le Fay.

Morgan is a willful, mischievous girl with mismatched eyes of emerald and violet. A girl of magic, whose childhood ends when King Uther Pendragon murders her father and steals away her mother. Then Pendragon dies and, in a warring country with no one to claim the throne, there are many who want Morgan dead. But Morgan has power, and magic. She is able to change the course of history, to become other, to determine her own fate-and, thus the fate of Britain. She will become Morgan le Fay. 

""Springer wields language like a sword, and both blood and flowers spring to these pages in vivid hues."" (Booklist, starred review)",7/9/2025
2400850,9.7804E+12,840L,My books,,0,6/27/2025,7/1/2025,192,1,2.5,,,,0,,1,,,I Am Mordred,A Tale from Camelot,en,"Fiction,Young Adult Fiction,Multigenerational",Nancy Springer,,,,,,Philomel Books,192,4/13/1998,hardcover,,,,,,,,,,,,,,,,"Fans of the King Arthur legend will love this tale about one of the most fascinating and misunderstood heroes of Arthurian lore. An epic fantasy comes to life for Camelot fans.

What will a person give to forsake his destiny? From his very incarnation, Mordred has been a pawn in Camelot's history. Foretold by Merlin that he will grow up to kill his father, the beloved King Arthur, young Mordred struggles with his fate, loathing the great king who tried to kill him as a baby, yet journeying to Camelot where he learns to serve and idolize the legendary leader. Torn between feelings of love and hate, Mordred yearns to make peace with Arthur, who still refuses to acknowledge him. But Mordred is determined to have peace at any price--even if it costs him his soul. 


""In language worthy of her heroic subject, Springer reworks Arthuriana to craft an original tale resonant with archetypal themes of love, loss, betrayal and reconciliation. Her strong female characters and bold recasting of traditional villains and heroes will draw the rapt attention of both sexes."" -- Publishers Weekly",7/9/2025
9095,9.78014E+12,HL570L,My books,,0,7/5/2025,7/8/2025,336,1,4.5,,,,0,,1,,,Treasure Island,,en,"Picture Books,Classics,Action & Adventure",Robert Louis Stevenson,,,,,,Puffin Books,336,3/27/2008,paperback,,,,,,,,,,,,,,,,"Following the demise of bloodthirsty buccaneer Captain Flint, young Jim Hawkins finds himself with the key to a fortune. For he has discovered a map that will lead him to the fabled Treasure Island. But a host of villains, wild beasts and deadly savages stand between him and the stash of gold. Not to mention the most infamous pirate ever to sail the high seas . . . With a wonderfully funny introduction by award-winning author Eoin Colfer, Treasure Island is one of the twenty brilliant classic stories being reissued in Puffin Classics in March 2015.",7/9/2025
5352576,9.78059E+12,640L,My books,,0,5/1/2025,5/3/2025,288,1,5,,,,0,,1,,,Jennifer Chan Is Not Alone,,en,"Middle Grade Books,Bullying,Paranormal, Occult & Supernatural",Tae Keller,,,,,,Random House Books for Young Readers,288,4/26/2022,hardcover,,,,,,,,,,,,,,,,"In her first novel since winning the Newbery Medal for When You Trap a Tiger, Tae Keller offers a gripping and emotional story about a girl who is alienated by her friends . . . for believing in aliens.

Sometimes middle school can make you feel like you're totally alone in the universe...but what if we aren't alone at all?

Thanks to her best friend, Reagan, Mallory Moss knows the rules of middle school. The most important one? You have to fit in to survive. But then Jennifer Chan moves in across the street, and that rule doesn’t seem to apply. Jennifer doesn’t care about the laws of middle school, or the laws of the universe. She believes in aliens—and she thinks she can find them.

Then Jennifer goes missing. Using clues from Jennifer’s journals, Mallory goes searching. But the closer she gets, the more Mallory has to confront why Jennifer might have run . . . and face the truth within herself.

Tae Keller lights up the sky with this insightful story about shifting friendships, right and wrong, and the power we all hold to influence and change one another. No one is alone.",5/4/2025
7763007,9.78152E+12,590L,My books,,0,4/27/2025,4/29/2025,320,1,5,,,,0,,1,,,When You Trap a Tiger,(Winner of the 2021 Newbery Medal),en,Juvenile Fiction,Tae Keller,,,,,,National Geographic Books,320,1/3/2023,paperback,,,,,,,,,,,,,,,,"WINNER OF THE NEWBERY MEDAL • NEW YORK TIMES BESTSELLER • WINNER OF THE ASIAN/PACIFIC AMERICAN AWARD FOR CHILDREN'S LITERATURE Would you make a deal with a magical tiger? This uplifting story brings Korean folklore to life as a girl goes on a quest to unlock the power of stories and save her grandmother. When Lily and her family move in with her sick grandmother, a magical tiger straight out of her halmoni's Korean folktales arrives, prompting Lily to unravel a secret family history. Long, long ago, Halmoni stole something from the tigers. Now they want it back. And when one of the tigers approaches Lily with a deal—return what her grandmother stole in exchange for Halmoni's health—Lily is tempted to agree. But deals with tigers are never what they seem! With the help of her sister and her new friend Ricky, Lily must find her voice . . . and the courage to face a tiger.",4/29/2025
62344,9.78055E+12,,My books,,0,4/10/2025,4/12/2025,340,1,5,,,,0,,1,,,"The Evolution of Calpurnia Tate (Calpurnia Tate, #1)",,en,,Jacqueline Kelly,,,,,,Scholastic Inc.,340,9/1/2010,paperback,,Calpurnia Tate,1,,,,,,,,,,,,,"Calpurnia Virginia Tate is eleven years old in 1899 when she wonders why the yellow grasshoppers in her Texas backyard are so much bigger than the green ones. With a little help from her notoriously cantankerous grandfather, an avid naturalist, she figures out that the green grasshoppers are easier to see against the yellow grass, so they are eaten before they can get any larger.

As Callie explores the natural world around her, she develops a close relationship with her grandfather, navigates the dangers of living with six brothers, and comes up against just what it means to be a girl at the turn of the century.

Debut author Jacqueline Kelly deftly brings Callie and her family to life, capturing a year of growing up with unique sensitivity and a wry wit.",4/12/2025
2166088,9.78145E+12,,My books,,0,2/28/2025,3/4/2025,256,1,4,,,,0,,1,,,The House of Dies Drear,,en,Juvenile Fiction,Virginia Hamilton,,,,,,Open Road Media Teen  Tween,256,2/15/2011,ebook,,,,,,,,,,,,,,,,"In Virginia Hamilton’s Edgar Award–winning novel, teenager Thomas Small and his family must uncover the haunting historical legacy of their Civil War–era house

Shortly after moving into an old, spooky home, thirteen-year-old Thomas Small and his family start hearing strange noises. The house has a past, and when Thomas discovers a hidden passageway that may have been part of the Underground Railroad, the family realizes the house has a history as well. To find out all there is to know about the House of Dies Drear, Thomas must explore secret rooms—and the secrets of lives lived centuries before, lives that tell the story of America’s troubled early years.",4/5/2025
